"1988-04-12 00:00:00.0","1995-04-13 00:00:00.0",484147,"Engineer"
"1995-04-13 00:00:00.0","9999-01-01 00:00:00.0",484147,"Senior Engineer"
"1989-03-14 00:00:00.0","1997-03-14 00:00:00.0",484148,"Engineer"
"1997-03-14 00:00:00.0","2002-05-03 00:00:00.0",484148,"Senior Engineer"
"1987-03-02 00:00:00.0","9999-01-01 00:00:00.0",484149,"Senior Engineer"
"1994-06-18 00:00:00.0","9999-01-01 00:00:00.0",484150,"Engineer"
"1989-01-25 00:00:00.0","9999-01-01 00:00:00.0",484151,"Senior Engineer"
"2002-04-02 00:00:00.0","9999-01-01 00:00:00.0",484152,"Senior Staff"
"1995-04-02 00:00:00.0","2002-04-02 00:00:00.0",484152,"Staff"
"1985-05-08 00:00:00.0","1992-05-08 00:00:00.0",484153,"Engineer"
"1992-05-08 00:00:00.0","9999-01-01 00:00:00.0",484153,"Senior Engineer"
"1999-12-21 00:00:00.0","2000-04-12 00:00:00.0",484154,"Senior Staff"
"1993-12-21 00:00:00.0","1999-12-21 00:00:00.0",484154,"Staff"
"1989-05-03 00:00:00.0","1997-05-03 00:00:00.0",484155,"Engineer"
"1997-05-03 00:00:00.0","9999-01-01 00:00:00.0",484155,"Senior Engineer"
"1992-08-08 00:00:00.0","9999-01-01 00:00:00.0",484156,"Senior Staff"
"1989-07-11 00:00:00.0","9999-01-01 00:00:00.0",484157,"Technique Leader"
"1986-01-03 00:00:00.0","1987-05-10 00:00:00.0",484158,"Senior Engineer"
"1997-06-06 00:00:00.0","9999-01-01 00:00:00.0",484159,"Staff"
"1985-12-08 00:00:00.0","9999-01-01 00:00:00.0",484160,"Senior Staff"
"1990-12-13 00:00:00.0","1995-12-13 00:00:00.0",484161,"Engineer"
"1995-12-13 00:00:00.0","9999-01-01 00:00:00.0",484161,"Senior Engineer"
"1987-09-26 00:00:00.0","1995-09-26 00:00:00.0",484162,"Engineer"
"1995-09-26 00:00:00.0","9999-01-01 00:00:00.0",484162,"Senior Engineer"
"2001-10-26 00:00:00.0","9999-01-01 00:00:00.0",484163,"Senior Staff"
"1994-10-26 00:00:00.0","2001-10-26 00:00:00.0",484163,"Staff"
"1999-07-09 00:00:00.0","9999-01-01 00:00:00.0",484164,"Senior Engineer"
"1998-12-14 00:00:00.0","9999-01-01 00:00:00.0",484165,"Engineer"
"1994-11-18 00:00:00.0","1997-12-15 00:00:00.0",484166,"Senior Staff"
"1989-11-18 00:00:00.0","1994-11-18 00:00:00.0",484166,"Staff"
"1992-02-29 00:00:00.0","9999-01-01 00:00:00.0",484167,"Senior Staff"
"1985-02-28 00:00:00.0","1992-02-29 00:00:00.0",484167,"Staff"
"1989-06-07 00:00:00.0","1995-06-07 00:00:00.0",484168,"Engineer"
"1995-06-07 00:00:00.0","9999-01-01 00:00:00.0",484168,"Senior Engineer"
"1999-05-11 00:00:00.0","2001-06-15 00:00:00.0",484169,"Senior Staff"
"1995-05-05 00:00:00.0","9999-01-01 00:00:00.0",484170,"Senior Staff"
"1988-05-04 00:00:00.0","1995-05-05 00:00:00.0",484170,"Staff"
"1994-04-14 00:00:00.0","9999-01-01 00:00:00.0",484171,"Senior Staff"
"1991-11-05 00:00:00.0","1999-11-05 00:00:00.0",484172,"Engineer"
"1999-11-05 00:00:00.0","9999-01-01 00:00:00.0",484172,"Senior Engineer"
"1993-10-07 00:00:00.0","9999-01-01 00:00:00.0",484173,"Technique Leader"
"1986-12-27 00:00:00.0","9999-01-01 00:00:00.0",484174,"Senior Engineer"
"1995-09-29 00:00:00.0","9999-01-01 00:00:00.0",484175,"Engineer"
"1998-09-17 00:00:00.0","9999-01-01 00:00:00.0",484176,"Engineer"
"1999-03-23 00:00:00.0","9999-01-01 00:00:00.0",484177,"Senior Staff"
"1994-03-23 00:00:00.0","1999-03-23 00:00:00.0",484177,"Staff"
"1989-01-10 00:00:00.0","1990-09-04 00:00:00.0",484178,"Senior Engineer"
"1990-05-23 00:00:00.0","9999-01-01 00:00:00.0",484179,"Senior Staff"
"1992-10-31 00:00:00.0","1998-10-31 00:00:00.0",484180,"Engineer"
"1998-10-31 00:00:00.0","9999-01-01 00:00:00.0",484180,"Senior Engineer"
"1991-06-19 00:00:00.0","1999-06-19 00:00:00.0",484181,"Engineer"
"1999-06-19 00:00:00.0","2001-03-10 00:00:00.0",484181,"Senior Engineer"
"1994-03-21 00:00:00.0","9999-01-01 00:00:00.0",484182,"Senior Engineer"
"1995-09-20 00:00:00.0","9999-01-01 00:00:00.0",484183,"Staff"
"1997-09-13 00:00:00.0","9999-01-01 00:00:00.0",484184,"Engineer"
"1999-12-30 00:00:00.0","9999-01-01 00:00:00.0",484185,"Staff"
"1994-09-22 00:00:00.0","9999-01-01 00:00:00.0",484186,"Engineer"
"1987-05-24 00:00:00.0","9999-01-01 00:00:00.0",484187,"Technique Leader"
"1993-05-30 00:00:00.0","9999-01-01 00:00:00.0",484188,"Senior Staff"
"1988-05-30 00:00:00.0","1993-05-30 00:00:00.0",484188,"Staff"
"1994-10-26 00:00:00.0","2001-10-26 00:00:00.0",484189,"Engineer"
"2001-10-26 00:00:00.0","9999-01-01 00:00:00.0",484189,"Senior Engineer"
"1987-09-13 00:00:00.0","1996-01-14 00:00:00.0",484190,"Engineer"
"1995-06-17 00:00:00.0","2001-06-16 00:00:00.0",484191,"Assistant Engineer"
"2001-06-16 00:00:00.0","9999-01-01 00:00:00.0",484191,"Engineer"
"1998-08-28 00:00:00.0","9999-01-01 00:00:00.0",484192,"Senior Staff"
